20140423 135134.594 [08996] CLI Starting up; pid 8996
20140423 135134.594 [08996] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135134.594 [08996] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135135.793 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140424 103231.746 [07248] KGP warning: no keepalive ack for > 5s
20140424 103232.746 [07248] KGP warning: no keepalive ack for > 5s
20140424 104227.831 [07248] KGP warning: no keepalive ack for > 5s
20140424 104309.836 [07248] KGP warning: no keepalive ack for > 5s
20140424 104956.895 [07248] KGP warning: no keepalive ack for > 5s
20140424 104957.895 [07248] KGP warning: no keepalive ack for > 5s
20140424 105749.968 [07248] KGP warning: no keepalive ack for > 5s
20140424 105750.968 [07248] KGP warning: no keepalive ack for > 5s
20140424 105751.968 [07248] KGP warning: no keepalive ack for > 5s
20140424 105752.968 [07248] KGP warning: no keepalive ack for > 5s
20140424 105753.969 [07248] KGP warning: no keepalive ack for > 5s
20140424 105754.969 [07248] KGP warning: no keepalive ack for > 5s
20140424 105755.969 [07248] KGP warning: no keepalive ack for > 5s
20140424 111725.149 [07248] KGP warning: no keepalive ack for > 5s
20140424 121314.289 [07248] CLI performing GET https://saucelabs.com/rest/v1/TigerairQA/tunnels/26fe2651c2d94e3f902503e3867114c8 failed: Timeout was reached.
20140424 121554.664 [07248] KGP warning: no keepalive ack for > 5s
20140424 121604.665 [07248] KGP warning: no keepalive ack for > 5s
20140424 135133.988 [07248] KGP warning: no keepalive ack for > 5s
20140424 135134.989 [07248] KGP warning: no keepalive ack for > 5s
20140424 135135.989 [07248] KGP warning: no keepalive ack for > 5s
